"districtid","apr","aug","dec","feb","jan","jul","jun","mar","may","nov","oct","sep","year","states","stateid","district"
"385","0.59999999999999998","103.3","6","92.200000000000003","0","96.900000000000006","15.6","115","5.7999999999999998","315.10000000000002","107.7","79.5","2008","ANDHRA PRADESH","2","PRAKASAM"
"406","37.700000000000003","80.700000000000003","0","5.7999999999999998","23.800000000000001","233.69999999999999","34.399999999999999","14.199999999999999","47","0","103.7","148.09999999999999","2004","ANDHRA PRADESH","2","RANGAREDDY"
"406","16.899999999999999","130.09999999999999","0","13.199999999999999","12.699999999999999","332.5","96","33.799999999999997","29.600000000000001","0","162.30000000000001","274.19999999999999","2005","ANDHRA PRADESH","2","RANGAREDDY"
"406","80.700000000000003","154.30000000000001","0","0","0","126","80.700000000000003","23.300000000000001","95.599999999999994","19.699999999999999","24.399999999999999","172.09999999999999","2006","ANDHRA PRADESH","2","RANGAREDDY"
"406","19.399999999999999","182.90000000000001","0","0.10000000000000001","0","41.600000000000001","140.09999999999999","0","29.899999999999999","25.199999999999999","35","190.19999999999999","2007","ANDHRA PRADESH","2","RANGAREDDY"
"406","27.699999999999999","316.30000000000001","1.3","27.800000000000001","0","97.099999999999994","74.099999999999994","143.19999999999999","8.6999999999999993","11.699999999999999","36","140.19999999999999","2008","ANDHRA PRADESH","2","RANGAREDDY"
"467","63.899999999999999","131.90000000000001","0","3.1000000000000001","17.399999999999999","171.69999999999999","167.30000000000001","11.300000000000001","45.5","10.800000000000001","292.89999999999998","127","2004","ANDHRA PRADESH","2","SRIKAKULAM"
"467","15.199999999999999","161.90000000000001","1.7","0.5","17.100000000000001","150.40000000000001","93","26.399999999999999","48.399999999999999","73.299999999999997","144.19999999999999","423.39999999999998","2005","ANDHRA PRADESH","2","SRIKAKULAM"
"467","40","373.89999999999998","0","0","0","310.10000000000002","214.09999999999999","45","86.299999999999997","13","74.900000000000006","201.19999999999999","2006","ANDHRA PRADESH","2","SRIKAKULAM"
"467","8.5","176.40000000000001","0","0.29999999999999999","0","106.5","363.89999999999998","7.4000000000000004","87.200000000000003","0.59999999999999998","148.40000000000001","314.39999999999998","2007","ANDHRA PRADESH","2","SRIKAKULAM"
"467","32.299999999999997","219.5","0","60.299999999999997","49.899999999999999","188.90000000000001","72.700000000000003","45.600000000000001","88","8.6999999999999993","28.199999999999999","253.80000000000001","2008","ANDHRA PRADESH","2","SRIKAKULAM"
"512","95","86.099999999999994","0","11","11.800000000000001","201.5","242.80000000000001","2","69.700000000000003","12.9","125.2","131.69999999999999","2004","ANDHRA PRADESH","2","VISHAKHAPATNAM"
"512","63.100000000000001","112.90000000000001","1.3","9.4000000000000004","8.9000000000000004","92.700000000000003","149.59999999999999","22.899999999999999","60.899999999999999","54.100000000000001","422.39999999999998","492.19999999999999","2005","ANDHRA PRADESH","2","VISHAKHAPATNAM"
